iter	species	sum1	sum10	sum30	ba	ba10	agb	gpp	npp	rday	rnight	rstem	litterfall
1	Dipteryx_odorata	5224.16	0	0	0	0	0	0	0	0	0	0	0
1	Drypetes_fanshawei	5634.88	0	0	0	0	0	0	0	0	0	0	0
1	Drypetes_variabilis	5781.28	0	0	0	0	0	0	0	0	0	0	0
1	Duguetia_surinamensis	5955.52	0	0	0	0	0	0	0	0	0	0	0
1	Ecclinusa_lanceolata	5983.84	0	0	0	0	0	0	0	0	0	0	0
1	Ecclinusa_ramiflora	6012.48	0	0	0	0	0	0	0	0	0	0	0
1	Endlicheria_melinonii	6041.12	0	0	0	0	0	0	0	0	0	0	0
1	Eperua_falcata	6636.16	0	0	0	0	0	0	0	0	0	0	0
1	Eperua_grandiflora	6655.04	0	0	0	0	0	0	0	0	0	0	0
1	Erisma_floribundum	6663.68	0	0	0	0	0	0	0	0	0	0	0
1	Eschweilera_chartaceifolia	6759.04	0	0	0	0	0	0	0	0	0	0	0
1	Eschweilera_coriacea	7311.04	0	0	0	0	0	0	0	0	0	0	0
1	Eschweilera_decolorans	7337.28	0	0	0	0	0	0	0	0	0	0	0
1	Eschweilera_grandiflora	7459.52	0	0	0	0	0	0	0	0	0	0	0
1	Eschweilera_micrantha	7816.48	0	0	0	0	0	0	0	0	0	0	0
1	Eschweilera_pedicellata	7819.52	0	0	0	0	0	0	0	0	0	0	0
1	Eschweilera_sagotiana	7828.48	0	0	0	0	0	0	0	0	0	0	0
1	Glycydendron_amazonicum	7836.48	0	0	0	0	0	0	0	0	0	0	0
1	Goupia_glabra	7871.68	0	0	0	0	0	0	0	0	0	0	0
1	Helicostylis_pedunculata	7919.04	0	0	0	0	0	0	0	0	0	0	0
1	Hevea_guianensis	7921.12	0	0	0	0	0	0	0	0	0	0	0
1	Hirtella_bicornis	7940.96	0	0	0	0	0	0	0	0	0	0	0
1	Hirtella_glandulosa	8034.88	0	0	0	0	0	0	0	0	0	0	0
1	Hirtella_suffulta	8046.4	0	0	0	0	0	0	0	0	0	0	0
1	Inga_acrocephala	8057.28	0	0	0	0	0	0	0	0	0	0	0
1	Inga_longipedunculata	8077.44	0	0	0	0	0	0	0	0	0	0	0
1	Inga_pezizifera	8096.64	0	0	0	0	0	0	0	0	0	0	0
1	Iryanthera_sagotiana	8238.08	0	0	0	0	0	0	0	0	0	0	0
1	Jacaranda_copaia	8268.32	0	0	0	0	0	0	0	0	0	0	0
1	Lacmellea_aculeata	8294.88	0	0	0	0	0	0	0	0	0	0	0
1	Lacunaria_jenmanii	8300.16	0	0	0	0	0	0	0	0	0	0	0
1	Laetia_procera	8301.6	0	0	0	0	0	0	0	0	0	0	0
1	Lecythis_persistens	8597.6	0	0	0	0	0	0	0	0	0	0	0
1	Lecythis_poiteaui	8736.8	0	0	0	0	0	0	0	0	0	0	0
1	Lecythis_zabucajo	8747.52	0	0	0	0	0	0	0	0	0	0	0
1	Licania_alba	8972	0	0	0	0	0	0	0	0	0	0	0
1	Licania_canescens	9086.72	0	0	0	0	0	0	0	0	0	0	0
1	Licania_heteromorpha	9113.92	0	0	0	0	0	0	0	0	0	0	0
1	Licania_latistipula	9121.92	0	0	0	0	0	0	0	0	0	0	0
1	Licania_majuscula	9123.84	0	0	0	0	0	0	0	0	0	0	0
1	Licania_membranacea	9229.76	0	0	0	0	0	0	0	0	0	0	0
1	Licania_micrantha	9237.6	0	0	0	0	0	0	0	0	0	0	0
1	Licania_minutiflora	9263.04	0	0	0	0	0	0	0	0	0	0	0
1	Licania_ovalifolia	9269.28	0	0	0	0	0	0	0	0	0	0	0
1	Manilkara_bidentata	9316.32	0	0	0	0	0	0	0	0	0	0	0
1	Manilkara_huberi	9360.96	0	0	0	0	0	0	0	0	0	0	0
1	Melicoccus_pedicellaris	9368	0	0	0	0	0	0	0	0	0	0	0
1	Micropholis_cayennensis	9398.88	0	0	0	0	0	0	0	0	0	0	0
1	Micropholis_egensis	9415.04	0	0	0	0	0	0	0	0	0	0	0
1	Micropholis_guyanensis	9433.28	0	0	0	0	0	0	0	0	0	0	0
1	Micropholis_longipedicellata	9435.36	0	0	0	0	0	0	0	0	0	0	0
1	Micropholis_melinoniana	9439.52	0	0	0	0	0	0	0	0	0	0	0
1	Micropholis_obscura	9440.16	0	0	0	0	0	0	0	0	0	0	0
1	Micropholis_porphyrocarpa	9450.56	0	0	0	0	0	0	0	0	0	0	0
1	Micropholis_sanctae-rosae	9469.76	0	0	0	0	0	0	0	0	0	0	0
1	Micropholis_venulosa	9478.72	0	0	0	0	0	0	0	0	0	0	0
1	Minquartia_guianensis	9503.68	0	0	0	0	0	0	0	0	0	0	0
1	Mouriri_crassifolia	9506.56	0	0	0	0	0	0	0	0	0	0	0
1	Naucleopsis_guianensis	9511.68	0	0	0	0	0	0	0	0	0	0	0
1	Ocotea_argyrophylla	9520.32	0	0	0	0	0	0	0	0	0	0	0
1	Oxandra_asbeckii	9554.4	0	0	0	0	0	0	0	0	0	0	0
1	Parinari_campestris	9554.88	0	0	0	0	0	0	0	0	0	0	0
1	Parinari_montana	9556.32	0	0	0	0	0	0	0	0	0	0	0
1	Pogonophora_schomburgkiana	9556.96	0	0	0	0	0	0	0	0	0	0	0
1	Poraqueiba_guianensis	9590.4	0	0	0	0	0	0	0	0	0	0	0
1	Pourouma_minor	9593.92	0	0	0	0	0	0	0	0	0	0	0
1	Pourouma_villosa	9600.8	0	0	0	0	0	0	0	0	0	0	0
1	Pouteria_ambelaniifolia	9603.84	0	0	0	0	0	0	0	0	0	0	0
1	Pouteria_bangii	9604	0	0	0	0	0	0	0	0	0	0	0
1	Pouteria_benai	9606.72	0	0	0	0	0	0	0	0	0	0	0
1	Pouteria_bilocularis	9607.36	0	0	0	0	0	0	0	0	0	0	0
1	Pouteria_cladantha	9615.52	0	0	0	0	0	0	0	0	0	0	0
1	Pouteria_cuspidata	9617.6	0	0	0	0	0	0	0	0	0	0	0
1	Pouteria_decorticans	9636	0	0	0	0	0	0	0	0	0	0	0
1	Pouteria_eugeniifolia	9652.96	0	0	0	0	0	0	0	0	0	0	0
1	Pouteria_filipes	9656.16	0	0	0	0	0	0	0	0	0	0	0
1	Pouteria_fimbriata	9665.12	0	0	0	0	0	0	0	0	0	0	0
1	Pouteria_flavilatex	9667.52	0	0	0	0	0	0	0	0	0	0	0
1	Pouteria_guianensis	9678.72	0	0	0	0	0	0	0	0	0	0	0
1	Pouteria_hispida	9684	0	0	0	0	0	0	0	0	0	0	0
1	Pouteria_jariensis	9692.8	0	0	0	0	0	0	0	0	0	0	0
1	Pouteria_laevigata	9695.04	0	0	0	0	0	0	0	0	0	0	0
1	Pouteria_melanopoda	9697.76	0	0	0	0	0	0	0	0	0	0	0
1	Pouteria_reticulata	9699.2	0	0	0	0	0	0	0	0	0	0	0
