iter	sum1	sum10	sum30	ba	ba10	agb	gpp	npp	rday	rnight	rstem	litterfall
108	2.44384e+06	64.4444	0	13.5297	0.546693	49958.4	3.23021	1.34556	0.246018	0.521885	0.105964	0.5764
109	2.46703e+06	71.5556	0	13.552	0.609402	50228.9	3.06478	1.23786	0.241587	0.518402	0.106457	0.576108
110	2.48904e+06	78.6667	0	13.5867	0.671225	50544.1	3.16205	1.3161	0.241696	0.510364	0.10449	0.57381
111	2.50818e+06	87.5556	0	13.6239	0.747926	50887.4	3.23228	1.35295	0.246702	0.512228	0.109406	0.570948
112	2.52578e+06	96.4444	0	13.6513	0.825613	51186.1	3.15921	1.29262	0.244765	0.523315	0.109148	0.568041
113	2.54034e+06	103.556	0	13.6869	0.889968	51543.4	3.28456	1.40088	0.241312	0.506506	0.109554	0.565429
114	2.55419e+06	110.222	0	13.7222	0.952118	51921.2	3.44894	1.50121	0.247669	0.511235	0.112393	0.563293
115	2.56935e+06	125.778	0	13.7649	1.08729	52365.3	3.74012	1.66508	0.270749	0.522153	0.116235	0.562192
116	2.58407e+06	137.333	0	13.8401	1.19466	52935.4	3.99184	1.78604	0.288963	0.547934	0.124848	0.562887
117	2.60152e+06	148.889	0	13.9169	1.30335	53512.8	4.039	1.77258	0.301734	0.572814	0.131626	0.565596
118	2.6207e+06	164.444	0	13.9775	1.4434	54003.8	3.84598	1.65655	0.293618	0.567939	0.126706	0.569344
119	2.64326e+06	176.889	0	14.0064	1.56058	54340.5	3.24472	1.29884	0.258368	0.55171	0.118485	0.573311
120	2.66877e+06	191.556	0	14.0385	1.6909	54668.5	3.23253	1.33214	0.247921	0.526325	0.11406	0.575351
121	2.69291e+06	203.111	0	14.0579	1.79893	54929.3	3.06539	1.22335	0.243427	0.52277	0.114472	0.57478
122	2.7122e+06	221.333	0	14.097	1.95714	55254.3	3.16261	1.30219	0.243448	0.514472	0.112159	0.572455
123	2.73027e+06	237.778	0	14.1303	2.10408	55576.2	3.23294	1.33911	0.248412	0.516144	0.117271	0.569326
124	2.74793e+06	254.667	0	14.1569	2.25638	55872.8	3.16125	1.2798	0.246487	0.527306	0.116893	0.566424
125	2.76243e+06	276	0	14.1746	2.44517	56155.9	3.28228	1.38632	0.242719	0.509769	0.117075	0.563241
126	2.77534e+06	300.889	0	14.1986	2.66593	56497.5	3.4477	1.48749	0.249036	0.514336	0.119942	0.560866
127	2.78965e+06	325.778	0	14.2443	2.89289	56961.6	3.7409	1.65212	0.272344	0.525466	0.123971	0.559975
128	2.80617e+06	358.667	0	14.3137	3.18864	57513.4	3.99228	1.77254	0.290514	0.55109	0.13302	0.560595
129	2.82163e+06	385.778	0	14.3841	3.44187	58072.1	4.03416	1.75583	0.303013	0.575467	0.140072	0.562932
130	2.83892e+06	407.111	0	14.4388	3.64821	58555.1	3.842	1.6414	0.294666	0.570147	0.13471	0.566544
131	2.86178e+06	418.667	0	14.4769	3.77565	58923.1	3.24034	1.2848	0.259111	0.553444	0.12588	0.570334
132	2.88844e+06	435.556	0	14.5089	3.94026	59247.4	3.22685	1.31859	0.248497	0.52769	0.120829	0.572041
133	2.91061e+06	448.444	0	14.5249	4.07154	59488.1	3.05774	1.20885	0.243878	0.523895	0.121164	0.571233
134	2.93102e+06	461.333	0	14.5555	4.20505	59798.1	3.15792	1.29027	0.243954	0.515632	0.118374	0.568896
135	2.95146e+06	478.222	0	14.591	4.37236	60133.7	3.2316	1.32874	0.249092	0.5176	0.123746	0.565849
136	2.96867e+06	494.222	0	14.625	4.53245	60453.3	3.15921	1.26855	0.247282	0.529113	0.123291	0.563013
137	2.98203e+06	509.778	0	14.6597	4.69305	60807.9	3.28426	1.37709	0.243758	0.512063	0.123574	0.560433
138	2.99427e+06	529.333	0	14.6922	4.8894	61181.6	3.44819	1.47678	0.250185	0.51688	0.126585	0.558266
139	3.00859e+06	549.333	0	14.7385	5.097	61644.4	3.74104	1.641	0.273579	0.528041	0.130757	0.557436
140	3.02354e+06	571.111	0	14.803	5.32504	62186.1	3.99036	1.75978	0.291697	0.553513	0.140216	0.558007
141	3.0397e+06	588	0	14.8666	5.5165	62733.8	4.02951	1.74162	0.303976	0.577445	0.147556	0.560155
142	3.05951e+06	602.222	0	14.9272	5.6817	63227.7	3.83302	1.62545	0.295322	0.571557	0.141811	0.563628
143	3.08056e+06	608	0	14.9449	5.77301	63506.9	3.22585	1.26748	0.259188	0.553775	0.132244	0.566365
144	3.10745e+06	616.889	0	14.9892	5.88506	63868.5	3.21708	1.30521	0.248574	0.527945	0.126609	0.568143
145	3.13029e+06	624.889	0	15.0202	5.98828	64166.5	3.05194	1.19736	0.244198	0.524674	0.127004	0.567517
146	3.15234e+06	633.333	0	15.049	6.09558	64460.6	3.14903	1.27815	0.244035	0.515897	0.123559	0.564839
147	3.17254e+06	642.667	0	15.0911	6.2128	64819.9	3.22395	1.31701	0.249274	0.518073	0.129065	0.561796
148	3.18874e+06	651.111	0	15.1168	6.32107	65115.7	3.15138	1.25677	0.247483	0.52964	0.128433	0.558817
149	3.2022e+06	660	0	15.1351	6.43757	65413	3.27615	1.36519	0.244011	0.512723	0.128465	0.556164
150	3.21529e+06	672.444	0	15.1579	6.58772	65761.6	3.44271	1.46631	0.250564	0.51777	0.131432	0.554268
151	3.22792e+06	691.556	0	15.1953	6.79575	66172.3	3.72749	1.62593	0.273654	0.528345	0.135507	0.552954
152	3.24185e+06	700.444	0	15.2517	6.93185	66684.5	3.97547	1.74355	0.291784	0.553828	0.145182	0.553354
153	3.25861e+06	714.222	0	15.3212	7.10809	67249.5	4.01653	1.72596	0.304207	0.578019	0.152758	0.555812
154	3.27638e+06	727.111	0	15.3743	7.27361	67736.9	3.81989	1.60998	0.295503	0.572067	0.146826	0.559373
155	3.30001e+06	731.111	0	15.4151	7.35714	68106.9	3.21682	1.25482	0.259463	0.554499	0.137066	0.562726
156	3.32627e+06	736.889	0	15.4615	7.44959	68476.6	3.20406	1.29251	0.248147	0.527062	0.131116	0.564033
157	3.3503e+06	741.778	0	15.4965	7.5321	68789.3	3.03669	1.18359	0.243699	0.523653	0.13138	0.56296
158	3.37275e+06	751.111	0	15.5407	7.65107	69138.9	3.13515	1.26638	0.243406	0.514546	0.127336	0.560145
159	3.39032e+06	754.222	0	15.5882	7.72391	69517.4	3.20836	1.30367	0.248735	0.516992	0.132922	0.556931
160	3.40718e+06	757.778	0	15.5968	7.79519	69734.9	3.13858	1.24567	0.246939	0.528468	0.132064	0.553498
161	3.42179e+06	762.222	0	15.6285	7.88179	70081.5	3.26458	1.35437	0.243647	0.511961	0.132116	0.550983
162	3.43567e+06	769.333	0	15.6368	7.99505	70368.9	3.42916	1.45427	0.250169	0.51698	0.13505	0.548789
163	3.45032e+06	774.222	0	15.6817	8.09906	70822.5	3.71868	1.61631	0.273485	0.528014	0.139291	0.547858
164	3.46522e+06	780.444	0	15.7347	8.21878	71320	3.96726	1.73422	0.291555	0.553395	0.149184	0.548228
165	3.48362e+06	788	0	15.8071	8.35095	71899.7	4.0101	1.71747	0.304079	0.577772	0.156953	0.550791
