iter	sum1	sum10	sum30	ba	ba10	agb	gpp	npp	rday	rnight	rstem	litterfall
136	3.02449e+06	492.16	0	14.5692	4.52502	60298.4	3.1402	1.25901	0.246208	0.526976	0.123005	0.558592
137	3.0392e+06	507.2	0	14.5854	4.68084	60589	3.26514	1.36766	0.242628	0.509822	0.123188	0.555839
138	3.05243e+06	525.6	0	14.6113	4.86751	60935.9	3.42975	1.46776	0.249062	0.514673	0.126146	0.553658
139	3.06674e+06	542.56	0	14.6582	5.05022	61395.6	3.71861	1.62945	0.272323	0.525773	0.130268	0.552688
140	3.08231e+06	559.84	0	14.7107	5.24152	61891.6	3.96423	1.7464	0.290228	0.550914	0.139563	0.5529
141	3.09943e+06	577.44	0	14.7828	5.437	62450.5	4.00396	1.72913	0.302383	0.574578	0.146843	0.555016
142	3.11878e+06	591.84	0	14.8377	5.60452	62928.4	3.80824	1.61356	0.293732	0.568639	0.141142	0.558301
143	3.14157e+06	600.32	0	14.867	5.71816	63263.6	3.20859	1.2594	0.258053	0.551499	0.13178	0.561716
144	3.16792e+06	610.56	0	14.8914	5.83992	63550.6	3.19526	1.29506	0.247137	0.525013	0.126036	0.562997
145	3.19351e+06	619.84	0	14.9185	5.95301	63826.5	3.02873	1.18657	0.242701	0.521588	0.126371	0.562166
146	3.21601e+06	628.96	0	14.9529	6.06466	64130	3.12546	1.26754	0.242437	0.512604	0.122875	0.559537
147	3.23533e+06	639.2	0	14.9865	6.18848	64461.3	3.19967	1.30586	0.247678	0.514856	0.128339	0.556531
148	3.25251e+06	648.48	0	15.0212	6.30276	64774.9	3.12736	1.24579	0.245921	0.526417	0.127728	0.553617
149	3.26727e+06	656.8	0	15.044	6.4145	65078.9	3.25072	1.35318	0.242431	0.509513	0.12776	0.550931
150	3.2811e+06	666.4	0	15.0726	6.5416	65432.5	3.41572	1.45331	0.248956	0.514548	0.130717	0.548956
151	3.29397e+06	678.4	0	15.1142	6.6954	65867.5	3.70461	1.615	0.272204	0.525617	0.13488	0.548033
152	3.30895e+06	692.8	0	15.1761	6.87496	66405.2	3.9536	1.733	0.290399	0.551307	0.144585	0.548696
153	3.32563e+06	707.52	0	15.2498	7.05814	66979.9	3.99204	1.714	0.302701	0.575306	0.152133	0.551059
154	3.34429e+06	716.48	0	15.311	7.19183	67486.1	3.79757	1.59942	0.294057	0.569395	0.146243	0.554544
155	3.36602e+06	721.44	0	15.3438	7.28204	67832.1	3.19795	1.24621	0.258183	0.551911	0.136501	0.557804
156	3.39296e+06	726.56	0	15.3716	7.36834	68131.2	3.18267	1.2827	0.246735	0.524193	0.130498	0.558935
157	3.41865e+06	730.88	0	15.4031	7.44593	68427.8	3.01719	1.17478	0.242379	0.52095	0.130769	0.557946
158	3.4413e+06	736.8	0	15.4373	7.53663	68736.9	3.11303	1.25617	0.241964	0.511622	0.126662	0.55514
159	3.46222e+06	742.56	0	15.4683	7.62934	69046.1	3.18594	1.29356	0.247202	0.513915	0.132142	0.551704
160	3.47943e+06	747.84	0	15.5007	7.7156	69356.9	3.11755	1.23569	0.24564	0.525851	0.131439	0.548808
161	3.49391e+06	752.96	0	15.5246	7.80628	69668.3	3.24257	1.34362	0.24237	0.509442	0.131464	0.54628
162	3.50694e+06	758.24	0	15.557	7.90387	70028.6	3.40726	1.44319	0.248983	0.5147	0.134466	0.544334
163	3.52046e+06	765.44	0	15.5953	8.02479	70446.1	3.69447	1.60366	0.272233	0.525781	0.138657	0.543347
164	3.53541e+06	772.96	0	15.6478	8.15416	70947.5	3.94176	1.72052	0.290349	0.551324	0.148524	0.544006
